issue_id,severity,test_id,scene_version,room_or_asset_id,issue_state,result,description,evidence_path,required_retest
FW-001,P1,GEO-05,iteration10,Declared adjacency,RESOLVED,PASS,"Full10 actual graph60/60 (52walk8inspection),7584 saved frames and independent unchanged-key reopen PASS. Scope sampled modeled geometry; GUI separate.",project/qa/integration10-navigation-reopen.json,Rerun affected true openings and full graph after relevant geometry changes; GUI/performance separate
FW-002,P1,NAV-03,candidate11,Room QA cameras,OPEN,INCOMPLETE,Combined11 saved120 cameras pass sampled3720 rays. Full120 actual images pending; guest12 bay details do not replace complete Theater coverage.,project/qa/camera11-actual-check.json,Final 120 camera geometry plus actual complementary images; two room views cannot be replaced by a detail image
FW-003,P1,VIS-07,water10;water11,Bear Run transitions,OPEN,FAIL,"Native48 six actual images show isolated source and cropped pool boundaries. S24/S48 diagnostic flux2.03/1.56x C target, bothFAIL. Native candidates not installed; source/cache incident tracked separately.",project/qa/water10-root-visual.md,Actual fluid boundary coverage and continuous 10-second rendered review
FW-004,P1,VIS-07,run06; entry01,Bear Run upstream source,OPEN,FAIL,Run06 source head does not join the program river. Entry01 36-frame experiment produces insufficient outlet water depth and coverage; preserved as failed local experiment.,project/qa/fluid-entry01-review.md,"Same-view program/cache diagnostic with real contact and safe upstream water level, then continuous sequence"
FW-005,P1,VIS-01,candidate12,Main and guest masonry,OPEN,FAIL,Two west wall faces and true Study aperture accepted in actual local images. Tower12 wrapped courses and source-height correction reviewed separately; remaining masonry too uniform.,project/qa/masonry-wall12-root-visual.md,Reference comparison and final close-up visual review
FW-006,P1,VIS-05,window08-preview,Interior light and exposure,OPEN,INCOMPLETE,One-window weak noncamera World plus20W AREA improves brown wood/readability without VOLUME lobes; actual image still has hard ceiling light boundary and grain. PARTIAL candidate not integrated. Local Cycles restore fresh-reopen PASS; full preview/FPS pending.,project/qa/eevee-iteration08-window-preview-review.md,Corrected per-room images retain light/shadow and window detail
FW-007,P1,VIS-04,iteration06,EEVEE window glass,OPEN,INCOMPLETE,Glass preview survived integration without changing Cycles glass surface or panes; guest glazing and reflection artifacts still need actual-image checks.,project/qa/eevee-iteration06-review.md,Multiple fifth-round window views and moving camera including overlapping glazing
FW-008,P1,GEO-06,iteration05,MAIN_B_BATH Wine threshold,RESOLVED,PASS,Same-view two broad black floor strips disappeared after removing coplanar overlap and closing narrow floor gaps,project/qa/iteration05-focus-review.md,Reopen only if geometry at threshold changes
FW-009,P1,GEO-02,iteration10,Central dimensions ledger,RESOLVED,PASS,"Current44 measured rows all reference frozen10 SHA;23numeric matches,15nominal passes,8source precision limits,21NOT_RUN. Actual retained north/east0 slab selectors and72width stations remeasured after deleted old slab/tread selectors failed; originals preserved. Overall category gate remainsFW015.",project/qa/dimensions-iteration10c.json,Repeat independent measured ledger after each saved rebuild; GEO02 category and source-precision gaps tracked separately
FW-010,P1,GEO-07,iteration05,Reference photo matching,OPEN,NOT_RUN,Six independently supportable distributed-point matched views remain incomplete,project/qa/photo-match-iteration04-review.md,At least three exterior and three interior views with dispersed fixed structure points
FW-011,P1,NAV-01;PERF-01,iteration05,Blender GUI,BLOCKED,BLOCKED,Desktop was locked and no unlock confirmation received; actual native navigation and frame-time evidence unavailable,project/STATUS.md,User unlock then actual GUI operation and four 60-second frame-time tests
FW-012,P1,VIS-01,Final output,12 4K stills,OPEN,NOT_RUN,Only an old-scene 4K cost benchmark exists; final set not produced,project/STATUS.md,12 current accepted-scene 3840x2160 Cycles stills with raw/denoised detail review
FW-013,P1,NAV-02;PKG-04,iteration10,Tour and supplementary films,OPEN,NOT_RUN,Saved10 graph60/60 and7584 frames pass twice;10 main segments49supplemental. Final2-4minute1080p movie and actual room supplement films NOT_RUN.,project/qa/integration10-navigation-reopen.json,Verified real-opening routes and actual complete videos with frame counts and image review
FW-014,P1,PKG-01;PKG-02,Final output,Portable package,OPEN,NOT_RUN,Iteration04 static texture relocation passed; final liquid-cache and reproducible-script delivery package not yet tested,project/qa/portability-iteration04-review.md,Relocate final full dependency package and independently reopen/rerender
FW-015,P1,GEO-02,iteration10;candidate11,Dimension coverage and source precision,OPEN,INCOMPLETE,"Current44:15standard,8precision-limited,21unmeasured. Four new printed terrace/bay targets failed prior shape; terrace11 repaired locally, guestbay11 in progress. Final same-scene20nominal plus category coverage remains incomplete.",project/qa/dimensions10-source-review.md,Source-supported independent endpoints and category coverage without relaxing tolerance
FW-016,P1,VIS-01;VIS-03;VIS-07,candidate11/12,Core sandstone and near-bank terrain,OPEN,FAIL,Combined canopy and soil improve locally; broad bare banks still nonphotographic. Actual leaf-litter12 images rejected as uniform fragments with hard boundary; not installed.,project/qa/integration11-root-visual.md,Matched baseline/candidate geology images and reference review before final water cache
FW-017,P1,GEO-06;VIS-03,furniture07e,Bathroom curved fittings,RESOLVED,PASS,Scoped27 bathroom curve overshoots repaired with endpoints/radii/transforms preserved. Evaluated towel center envelope181.10mm to90mm; same-camera actual Cycles image confirms slim straight rail. General fixture form/placement realism remains outside this closed shape defect.,project/qa/bath-fixtures-iteration06-review.md,Reopen if pipe geometry changes; general fixture realism remains part of final room visual review
FW-018,P1,GEO-01;GEO-07,iteration07,Main L1 west parapet and south fascia,OPEN,INCOMPLETE,Source-supported West parapet/south fascia bottom integrated and HERO image improved. South window axis/upstand remains a separate unresolved source issue. Photo87 point hypotheses remain invalid.,project/qa/photo-match07-review.md,Actual source comparison plus integrated geometry; do not accept ambiguous87 point identities from low residual
FW-019,P1,GEO-06,iteration07,Main L3 Study floor perimeter,RESOLVED,PASS,Physical Study slab/finish perimeter closed against source-supported wall returns. Original below-desk ray now hits Study finish; actual integrated07 same-view Cycles image has continuous floor and no old bright strip. Other floor and lighting defects are separate.,project/qa/photo-match07-study-floor-review.md,Reopen if Study floor or enclosing wall geometry changes
FW-020,P1,GEO-01;GEO-02,iteration10,GUEST_LAUNDRY_DESCENT outer wall,RESOLVED,PASS,"Corrected guest two-flight circulation/source outer wall integrated;72actual finished-face width stations meet2ft5in nominal within20mm, full routes/reopen pass. C south datum/shape labels remain disclosed.",project/qa/dimensions-iteration10c.json,"Source-constrained outer wall and actual step clearance, route and independent labeled dimension check"
FW-021,P1,GEO-06;VIS-03,iteration10,Main floor/wall/ceiling interfaces,OPEN,INCOMPLETE,Loggia/Master/Bath interfaces corrected and local images viewed; combined1178floor samples pass. Whole-room photography and ceiling source correction remain incomplete.,project/qa/integration10a-root-review.md,Actual same-camera09 images plus explicit mesh/real-opening controls and full integrated support/route regression
FW-022,P1,GEO-01;GEO-05,iteration10,Guest south circulation and west Lounge glazing,RESOLVED,PASS,"Guest source six flights and lowered south arrival, fixed west glazing and true southeast door integrated.3503local strict samples and full60/7584 saved-reopen pass; overall photo realism remains separate.",project/qa/guest-circulation10-root-visual.md,"Source-bound six flights, north doors, real east room access and lowered connector with unchanged thresholds; full adjacency and film-frame rerun"
FW-023,P1,GEO-01;VIS-02,candidate11,Main Master ceiling,OPEN,INCOMPLETE,Continuous south low field and outward casement accepted locally. Fixed-torso doorway and96terrace frames pass; exact source high/low elevations unresolved and being independently reread.,project/qa/master-navigation11-review.md,"Source-supported ceiling continuity, true window/door interfaces and strict actual-route regression"
FW-024,P1,PKG-01;QA-EVIDENCE,water11-S48,Native cache provenance,OPEN,ORIGINAL_CACHE_MISSING,Original36files remain missing. Isolated reproduction24config/mesh files byte-identical and12VDB differ; historical12frame measurements equal. Old full VDB arrays unavailable; no original restoration claim.684otherfiles unchanged.,project/qa/water11-source-reproduction-review.md,New cache byte/decoded comparison and full12frame re-audit; retain incident and old missing-file evidence
FW-025,P1,VIS-01,iteration10;camera12,CAM_MAIN_OVERVIEW,OPEN,INCOMPLETE,"Old overview fails tree obstruction; new35mm birdseye actually viewed and locally accepted, preserving trees. Not yet saved to working scene or accepted as source-photo match.",project/qa/overview12-root-visual.md,New camera physical clearance and actual image review without removing trees or altering building
FW-026,P1,GEO-06;VIS-01,candidate11/terrace12,L2 slab-parapet exterior interfaces,OPEN,INCOMPLETE,Combined11 actual HERO/overview show new black bands; rays prove coincident outward slab/parapet faces. Interface12 removes overlapping slab volumes and actual HERO is now clear. Independent evaluated union/seam checks pending.,project/qa/terrace12-blackband-probe.json,"Same-camera actual render plus independent topology, occupied union, structural support and unchanged source dimensions"
