asset_id,provider,author,source_url,license_url,downloaded_date,local_files,physical_scale,color_space,channels,modifications,used_by,verification_status,asset_origin,source_reference,evidence_level,license_note,limitations
MAIN_ARCHITECTURE,Project-authored,Codex-assisted project implementation,,,,project/scripts/main_house.py;project/data/main_house.json,"Meters; registered plan, per-anchor uncertainty in dimensions ledger",Procedural scene-linear parameters; no raster color profile,Mesh positions/normals,Authored mesh/material definitions; no external scan or downloaded texture,20_MAIN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,MAIN_HABS_01_JPEG through MAIN_HABS_11_JPEG; MAIN_HABS_04_HIRES; MAIN_HABS_10_HIRES,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Authored reconstruction from drawings; not laser scan; unmeasured outlines/openings/heights C
GUEST_ARCHITECTURE,Project-authored,Codex-assisted project implementation,,,,project/scripts/guest_house.py;project/data/guest_house.json,Meters; independent X/Y source calibration and registered origin,Procedural scene-linear parameters; no raster color profile,Mesh positions/normals,Authored mesh/material definitions; no external scan or downloaded texture,30_GUEST_SERVICE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,GUEST_HABS_01_HIRES through GUEST_HABS_04_HIRES; MAIN_HABS_02_HIRES,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Authored reconstruction; global registration and uncertain service details not surveyed
SITE_TERRAIN,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; authored bounds/river/paths in data/site.json,Procedural scene-linear parameters; no raster color profile,Mesh,Authored geometry; general CC0 surface maps applied by asset_materials.py; see PH texture rows,10_SITE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,MAIN_HABS_02_HIRES;MAIN_HABS_07_JPEG;INT_S09;INT_S10,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,No lidar or complete topographical survey; source creek/path positions approximate
SITE_STRATIFIED_ROCK,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; authored layer and ledge dimensions,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored geometry; general CC0 surface maps applied by asset_materials.py; see PH texture rows,10_SITE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,MAIN_HABS_02_HIRES;MAIN_HABS_07_JPEG;INT_S03,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Not scanned sandstone; geology/shape interpretation C
SITE_BRIDGE_PATHS,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,"Meters; drawing-registered bridge, approximate approach paths",Procedural scene-linear parameters; no raster color profile,Mesh,Authored mesh/material definitions; no external scan or downloaded texture,10_SITE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,MAIN_HABS_02_HIRES;MAIN_HABS_04_HIRES,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Road/path terrain joins require integrated visual/navigation checks
BEAR_RUN_WATER,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; 1–241 frame cyclic surface at 24 fps,Procedural scene-linear parameters; no raster color profile,Mesh shape keys; transmission; roughness; absorption; bump,Authored mesh/material definitions; no external scan or downloaded texture,60_WATER,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,MAIN_HABS_02_HIRES;MAIN_HABS_07_JPEG,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Authored periodic representation, not physical liquid simulation; no external simulation cache"
BEAR_RUN_FOAM,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; programmed advecting traces and impact mesh,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surface animation,Authored mesh/material definitions; no external scan or downloaded texture,60_WATER,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S03;MAIN_HABS_07_JPEG,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Foam contact and ten-second continuity require actual rendered review
FOREST_TREE_VARIANTS,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; fixed-seed local branching/leaf mesh assets,Procedural scene-linear parameters; no raster color profile,Linked meshes; individual leaf UV; procedural leaf/bark surfaces,Authored mesh/material definitions; no external scan or downloaded texture,50_VEGETATION,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S09;INT_S10,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"No scanned plants, individual species inventory or measured tree positions"
FOREST_UNDERSTORY,Project-authored,Codex-assisted project implementation,,,,project/scripts/site.py;project/data/site.json,Meters; four local shrub/fern-like mesh variants,Procedural scene-linear parameters; no raster color profile,Linked meshes; individual leaf UV,Authored mesh/material definitions; no external scan or downloaded texture,50_VEGETATION,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S09;INT_S10,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Inferred community-compatible forms, not botanical replicas"
SURFACE_STONE_ROCK,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py;project/scripts/asset_materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;roughness;bump,Authored base shaders with worn_rock_natural_01 and slate_floor_02 CC0 detail; see separate PH rows,stone;stone_floor;rock;wet_rock,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S01;INT_S03,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Stone type supported by references; appearance and joints are generic C substitutes
SURFACE_WALNUT,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py;project/scripts/asset_materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;roughness;photographed height mapped through bump,Authored base shader with CC0 walnut_veneer surface maps; see PH_WALNUT_VENEER,wood,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S01,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Generic walnut veneer texture; not a measured Fallingwater furnishing scan
SURFACE_OCHRE_PLASTER,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;roughness;bump,Authored mesh/material definitions; no external scan or downloaded texture,ochre;ceiling,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S02,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Colors are scene-linear appearance choices, not paint spectrophotometry"
SURFACE_STEEL_METAL,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;metallic;roughness,Authored mesh/material definitions; no external scan or downloaded texture,red;metal;brass;dark,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S02,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Cherokee-red direction supported; exact RGB/metal finish inferred
SURFACE_GLASS,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py;project/scripts/eevee_glass.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;transmission;IOR;roughness;thickness,Original physical Cycles shader preserved; separately targeted EEVEE thin BLENDED/Fresnel approximation,glass,Actual old-Living six-static and 12-frame EEVEE test viewed; Cycles shader and 159 pane geometry hashes unchanged; iteration05 wider review pending,authored_procedural_not_scan,INT_S01,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Preview thin-window branch is not exact refraction. Overlap/reflection behavior and full-building realtime performance require separate QA.
SURFACE_WATER,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;transmission;IOR;roughness;bump;volume absorption,Authored mesh/material definitions; no external scan or downloaded texture,water,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S03,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Art-directed water surface, not measured optical properties or flow"
SURFACE_FABRIC_CORK,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;roughness;bump,Authored mesh/material definitions; no external scan or downloaded texture,cream_fabric;rust_fabric;linen;leather;cork,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S01;INT_V01;INT_V03,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Fabric/roughness details and allocations inferred; some colors unverified
