issue_id,severity,test_id,scene_version,room_or_asset_id,issue_state,result,description,evidence_path,required_retest
FW-001,P1,GEO-05,iteration09,Declared adjacency,OPEN,FAIL,Fresh09 graph:58 PASS and2 FAIL (ADJ041/054);7584 film-frame passes do not repair missing true connections. Guest multi-flight/source-level candidate10 in progress.,project/qa/tour-path-iteration09-review.md,Fresh full08 graph and independently reopened complete routes; never remove true wall to restore old path
FW-002,P1,NAV-03,iteration09,Room QA cameras,OPEN,INCOMPLETE,Full09 saved120 poses and geometry PASS;5 integrated focus images actually viewed. Existing07 full-room visual deficits and final complementary photography remain.,project/qa/iteration09-focus-review.md,Final 120 camera geometry plus actual complementary images; two room views cannot be replaced by a detail image
FW-003,P1,VIS-07,water09-impact36,Bear Run transitions,OPEN,FAIL,True-bed09 static control stable. Impact36 actual flow .173354596m3/s exceeds former authored .101709741 by70.44%; raw1/18/36 images show artificial closed pool boundaries. No candidate installed.,project/qa/water09-root-visual.md,Actual fluid boundary coverage and continuous 10-second rendered review
FW-004,P1,VIS-07,run06; entry01,Bear Run upstream source,OPEN,FAIL,Run06 source head does not join the program river. Entry01 36-frame experiment produces insufficient outlet water depth and coverage; preserved as failed local experiment.,project/qa/fluid-entry01-review.md,"Same-view program/cache diagnostic with real contact and safe upstream water level, then continuous sequence"
FW-005,P1,VIS-01,iteration05,Main and guest masonry,OPEN,FAIL,Actual relief is legible but regularly coursed surfaces remain more synthetic than source photos,project/qa/masonry-detail-review.md,Reference comparison and final close-up visual review
FW-006,P1,VIS-05,window08-preview,Interior light and exposure,OPEN,INCOMPLETE,One-window weak noncamera World plus20W AREA improves brown wood/readability without VOLUME lobes; actual image still has hard ceiling light boundary and grain. PARTIAL candidate not integrated. Local Cycles restore fresh-reopen PASS; full preview/FPS pending.,project/qa/eevee-iteration08-window-preview-review.md,Corrected per-room images retain light/shadow and window detail
FW-007,P1,VIS-04,iteration06,EEVEE window glass,OPEN,INCOMPLETE,Glass preview survived integration without changing Cycles glass surface or panes; guest glazing and reflection artifacts still need actual-image checks.,project/qa/eevee-iteration06-review.md,Multiple fifth-round window views and moving camera including overlapping glazing
FW-008,P1,GEO-06,iteration05,MAIN_B_BATH Wine threshold,RESOLVED,PASS,Same-view two broad black floor strips disappeared after removing coplanar overlap and closing narrow floor gaps,project/qa/iteration05-focus-review.md,Reopen only if geometry at threshold changes
FW-009,P1,GEO-02,iteration09,Central dimensions ledger,RESOLVED,PASS,Latest44 measured-ledger rows all match frozen09 SHA;23 numeric matches and21 unmeasured blanks. Independent read-only16-assertion data/freeze review agrees. Overall source/category gate remains separate.,project/qa/camera09-dimension-freeze-crosscheck.md,Repeat independent measured ledger after each saved rebuild; GEO02 category and source-precision gaps tracked separately
FW-010,P1,GEO-07,iteration05,Reference photo matching,OPEN,NOT_RUN,Six independently supportable distributed-point matched views remain incomplete,project/qa/photo-match-iteration04-review.md,At least three exterior and three interior views with dispersed fixed structure points
FW-011,P1,NAV-01;PERF-01,iteration05,Blender GUI,BLOCKED,BLOCKED,Desktop was locked and no unlock confirmation received; actual native navigation and frame-time evidence unavailable,project/STATUS.md,User unlock then actual GUI operation and four 60-second frame-time tests
FW-012,P1,VIS-01,Final output,12 4K stills,OPEN,NOT_RUN,Only an old-scene 4K cost benchmark exists; final set not produced,project/STATUS.md,12 current accepted-scene 3840x2160 Cycles stills with raw/denoised detail review
FW-013,P1,NAV-02;PKG-04,iteration09,Tour and supplementary films,OPEN,NOT_RUN,"Fresh09 all7584 integer frames pass, graph58/60 only; no checked09 saved. Final2-4minute1080p film and room supplements NOT_RUN.",project/qa/tour-path-iteration09-review.md,Verified real-opening routes and actual complete videos with frame counts and image review
FW-014,P1,PKG-01;PKG-02,Final output,Portable package,OPEN,NOT_RUN,Iteration04 static texture relocation passed; final liquid-cache and reproducible-script delivery package not yet tested,project/qa/portability-iteration04-review.md,Relocate final full dependency package and independently reopen/rerender
FW-015,P1,GEO-02,iteration09,Dimension coverage and source precision,OPEN,INCOMPLETE,"44 current09 rows:23 numeric agreements;15 nominal-standard passes,8 source/endpoint limits,21 unmeasured. Cantilever/opening categories missing; site pool-only.",project/qa/dimensions-build-20260920-165955.json,Source-supported independent endpoints and category coverage without relaxing tolerance
