ref_id,title,institution,item_id,sheet_or_photo,url,local_path,source_date,accessed_date,view_direction,rooms,use,evidence_level,rights_note,verification_status,source_url,sha256,bytes,hash_provenance,visual_status,status_provenance,parent_ref,asset_class,local_path_check
MAIN_HABS_01_JPEG,HABS PA-5346 sheet 1: Title sheet,Library of Congress / Historic American Buildings Survey,pa1690,sheet 01,https://www.loc.gov/pictures/item/pa1690.sheet.00001a/,research/references/architecture/main-01-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00001v.jpg,f8820aae5f0b4afeb8bd10b0fe6456ff3109edc409b1609e1e5217e46065a0f3,282462,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_02_JPEG,HABS PA-5346 sheet 2: Site plan,Library of Congress / Historic American Buildings Survey,pa1690,sheet 02,https://www.loc.gov/pictures/item/pa1690.sheet.00002a/,research/references/architecture/main-02-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00002v.jpg,b7c418fc54006d1c097eb8013b03ab167b8fc3aeddec00e1201d38da7e107a71,297286,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_03_JPEG,HABS PA-5346 sheet 3: Basement plan,Library of Congress / Historic American Buildings Survey,pa1690,sheet 03,https://www.loc.gov/pictures/item/pa1690.sheet.00003a/,research/references/architecture/main-03-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_B_WINE;MAIN_B_BATH;MAIN_B_BOILER;MAIN_B_STAIR;MAIN_B_FOUNDATION_1;MAIN_B_FOUNDATION_2;MAIN_B_FOUNDATION_3;MAIN_B_PLUNGE,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00003v.jpg,6593e92de4b03e629a6528839143831345f6c7e0dfcef8c2fc232006828d80dc,148009,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_04_JPEG,HABS PA-5346 sheet 4: First floor plan,Library of Congress / Historic American Buildings Survey,pa1690,sheet 04,https://www.loc.gov/pictures/item/pa1690.sheet.00004a/,research/references/architecture/main-04-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_L1_LIVING;MAIN_L1_KITCHEN;MAIN_L1_SERVANT;MAIN_L1_SERVICE_STAIR;MAIN_L1_ENTRY;MAIN_L1_COAT;MAIN_L1_STAIR;MAIN_L1_LOGGIA;MAIN_L1_TERRACE_W;MAIN_L1_TERRACE_E;MAIN_L1_HATCH,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00004v.jpg,63bd12eed8ab0ee249657e380302499f19f32195dc15fe830064e9c45094560e,191488,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_05_JPEG,HABS PA-5346 sheet 5: Second floor plan,Library of Congress / Historic American Buildings Survey,pa1690,sheet 05,https://www.loc.gov/pictures/item/pa1690.sheet.00005a/,research/references/architecture/main-05-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_L2_DRESSING;MAIN_L2_MASTER;MAIN_L2_BATH_N;MAIN_L2_BATH_G;MAIN_L2_BATH_M;MAIN_L2_HALL;MAIN_L2_GUEST;MAIN_L2_TERRACE_W;MAIN_L2_TERRACE_S;MAIN_L2_TERRACE_E;MAIN_L2_TERRACE_N;MAIN_L2_STAIR;MAIN_L2_CLOSET_M;MAIN_L2_CLOSET_G,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00005v.jpg,27b063106362f41df7b138e52bced2d95cf6add47381999a0e5cc33bbddce664,182048,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_06_JPEG,HABS PA-5346 sheet 6: Third floor plan,Library of Congress / Historic American Buildings Survey,pa1690,sheet 06,https://www.loc.gov/pictures/item/pa1690.sheet.00006a/,research/references/architecture/main-06-sheet.jpg,circa 2010,2026-09-20,drawing plan / detail; geographic bearing not asserted,MAIN_L3_STUDY;MAIN_L3_BATH;MAIN_L3_GALLERY;MAIN_L3_ALCOVE;MAIN_L3_TERRACE;MAIN_L3_LINK;MAIN_L3_STAIR,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00006v.jpg,66da60392a0cb16d11b2f1db5e0fa481082fedc3f93f09dcb097ae45bf50e45d,156591,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_07_JPEG,HABS PA-5346 sheet 7: South elevation,Library of Congress / Historic American Buildings Survey,pa1690,sheet 07,https://www.loc.gov/pictures/item/pa1690.sheet.00007a/,research/references/architecture/main-07-sheet.jpg,circa 2010,2026-09-20,south,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00007v.jpg,8a61f5c093cfc0a915c52f29261bfe06447cce2ff99a9f674796274725f3ea41,139921,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_08_JPEG,HABS PA-5346 sheet 8: North and west elevations,Library of Congress / Historic American Buildings Survey,pa1690,sheet 08,https://www.loc.gov/pictures/item/pa1690.sheet.00008a/,research/references/architecture/main-08-sheet.jpg,circa 2010,2026-09-20,north and west,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00008v.jpg,88094ddd3d5611866995d684452d2647229b7eb2fa2c29dec2bed3eaff3066fe,174241,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_09_JPEG,HABS PA-5346 sheet 9: East elevation,Library of Congress / Historic American Buildings Survey,pa1690,sheet 09,https://www.loc.gov/pictures/item/pa1690.sheet.00009a/,research/references/architecture/main-09-sheet.jpg,circa 2010,2026-09-20,east,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00009v.jpg,bc6039d67b2b105fbf14203dc9d1ab1e877de16fc23a6b5f34586f1dadc7242d,96506,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
MAIN_HABS_10_JPEG,HABS PA-5346 sheet 10: Sections looking east and west,Library of Congress / Historic American Buildings Survey,pa1690,sheet 10,https://www.loc.gov/pictures/item/pa1690.sheet.00010a/,research/references/architecture/main-10-sheet.jpg,circa 2010,2026-09-20,east and west sections,MAIN_ALL,Measured-drawing geometry reference; precision only where dimensions are legible,A,LOC item advisory: US Government images have no known restrictions; copied-source images may be restricted,downloaded_verified,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa1600/pa1690/sheet/00010v.jpg,709e9906c911e936a5d392e9098d5726d055a624f413ee1ab7f1663b46175a27,138286,"preserved prior ledger; this audit checked existence and bytes, did not rehash",JPEG directly viewed; not fully measured,research/references/architecture/manifest.csv; research/architecture.md,,original_archive_reference,exists
