issue_id,severity,test_id,scene_version,room_or_asset_id,issue_state,result,description,evidence_path,required_retest
FW-001,P1,GEO-05,iteration08,Declared adjacency,OPEN,INCOMPLETE,Source-corrected07 graph passed 60/60. New08 retaining wall affects two old approach routes; current fresh adjacency is 58 PASS and 2 FAIL. Replanning within real north approach in progress.,project/qa/iteration08-integration-decisions.md,Fresh full08 graph and independently reopened complete routes; never remove true wall to restore old path
FW-002,P1,NAV-03,iteration08,Room QA cameras,OPEN,INCOMPLETE,"Full08 actual120 saved poses and support/body geometry PASS. Seven new actual focus images:3 readable,4 limited. Previous07 full120 visual ledger81 readable29 limited10 fail. New poses do not close structural seams or final room photography.",project/qa/camera08-review.md,Final 120 camera geometry plus actual complementary images; two room views cannot be replaced by a detail image
FW-003,P1,VIS-07,hybrid07; static08,Bear Run transitions,OPEN,FAIL,Actual36-frame1.5s sequence still FAIL: smooth narrow band and disk foam. Static24 control loses47.91% mesh volume and32cm head; FLIP envelope confirms true sinking. Frozen155-point variant removes reversed faces but reduces one local water thickness59%; rejected.,project/qa/water08-static-head24-review.md,Actual fluid boundary coverage and continuous 10-second rendered review
FW-004,P1,VIS-07,run06; entry01,Bear Run upstream source,OPEN,FAIL,Run06 source head does not join the program river. Entry01 36-frame experiment produces insufficient outlet water depth and coverage; preserved as failed local experiment.,project/qa/fluid-entry01-review.md,"Same-view program/cache diagnostic with real contact and safe upstream water level, then continuous sequence"
FW-005,P1,VIS-01,iteration05,Main and guest masonry,OPEN,FAIL,Actual relief is legible but regularly coursed surfaces remain more synthetic than source photos,project/qa/masonry-detail-review.md,Reference comparison and final close-up visual review
FW-006,P1,VIS-05,window08-preview,Interior light and exposure,OPEN,INCOMPLETE,One-window weak noncamera World plus20W AREA improves brown wood/readability without VOLUME lobes; actual image still has hard ceiling light boundary and grain. PARTIAL candidate not integrated. Local Cycles restore fresh-reopen PASS; full preview/FPS pending.,project/qa/eevee-iteration08-window-preview-review.md,Corrected per-room images retain light/shadow and window detail
FW-007,P1,VIS-04,iteration06,EEVEE window glass,OPEN,INCOMPLETE,Glass preview survived integration without changing Cycles glass surface or panes; guest glazing and reflection artifacts still need actual-image checks.,project/qa/eevee-iteration06-review.md,Multiple fifth-round window views and moving camera including overlapping glazing
FW-008,P1,GEO-06,iteration05,MAIN_B_BATH Wine threshold,RESOLVED,PASS,Same-view two broad black floor strips disappeared after removing coplanar overlap and closing narrow floor gaps,project/qa/iteration05-focus-review.md,Reopen only if geometry at threshold changes
FW-009,P1,GEO-02,iteration08,Central dimensions ledger,RESOLVED,PASS,"Central ledger independently measures saved evaluated meshes:44 rows,23 numeric matches,21 blank. Thirty independent saved-scene/nominal guards including 50mm wrong-wall negative control PASS. GEO02 category and source precision acceptance remain separate.",project/qa/dimensions-iteration08-verification.json,Repeat independent measured ledger after each saved rebuild; GEO02 category and source-precision gaps tracked separately
FW-010,P1,GEO-07,iteration05,Reference photo matching,OPEN,NOT_RUN,Six independently supportable distributed-point matched views remain incomplete,project/qa/photo-match-iteration04-review.md,At least three exterior and three interior views with dispersed fixed structure points
FW-011,P1,NAV-01;PERF-01,iteration05,Blender GUI,BLOCKED,BLOCKED,Desktop was locked and no unlock confirmation received; actual native navigation and frame-time evidence unavailable,project/STATUS.md,User unlock then actual GUI operation and four 60-second frame-time tests
FW-012,P1,VIS-01,Final output,12 4K stills,OPEN,NOT_RUN,Only an old-scene 4K cost benchmark exists; final set not produced,project/STATUS.md,12 current accepted-scene 3840x2160 Cycles stills with raw/denoised detail review
FW-013,P1,NAV-02;PKG-04,iteration08,Tour and supplementary films,OPEN,NOT_RUN,07 independent7584 integer frames PASS but no full film. New08 all-frame regression in progress after new physical retaining wall; two adjacency approaches currently fail and require true-route repair. Final2-4minute1080p film and remaining room supplements NOT_RUN.,project/qa/iteration08-integration-decisions.md,Verified real-opening routes and actual complete videos with frame counts and image review
FW-014,P1,PKG-01;PKG-02,Final output,Portable package,OPEN,NOT_RUN,Iteration04 static texture relocation passed; final liquid-cache and reproducible-script delivery package not yet tested,project/qa/portability-iteration04-review.md,Relocate final full dependency package and independently reopen/rerender
FW-015,P1,GEO-02,iteration08,Dimension coverage and source precision,OPEN,INCOMPLETE,"23 numeric agreements:15 nominal-standard passes,8 unresolved source/endpoint precision limits;21 unmeasured remain blank. New laundry stair visible-face anchor covers connections; cantilever/openings remain missing and site has pool-only coverage.",project/qa/dimensions-build-20260920-154629.json,Source-supported independent endpoints and category coverage without relaxing tolerance
FW-016,P1,VIS-01;VIS-03;VIS-07,iteration08,Core sandstone and near-bank terrain,OPEN,INCOMPLETE,Core v3 frozen; rock/forest/water visual quality still FAIL. Bank08 geometry-only path-boundary repair integrated and actual three focus views inspected; soil/path contact improves. Candidate grey tint and07b added leaf scatter rejected.,project/qa/iteration08-integration-decisions.md,Matched baseline/candidate geology images and reference review before final water cache
FW-017,P1,GEO-06;VIS-03,furniture07e,Bathroom curved fittings,RESOLVED,PASS,Scoped27 bathroom curve overshoots repaired with endpoints/radii/transforms preserved. Evaluated towel center envelope181.10mm to90mm; same-camera actual Cycles image confirms slim straight rail. General fixture form/placement realism remains outside this closed shape defect.,project/qa/bath-fixtures-iteration06-review.md,Reopen if pipe geometry changes; general fixture realism remains part of final room visual review
FW-018,P1,GEO-01;GEO-07,iteration07,Main L1 west parapet and south fascia,OPEN,INCOMPLETE,Source-supported West parapet/south fascia bottom integrated and HERO image improved. South window axis/upstand remains a separate unresolved source issue. Photo87 point hypotheses remain invalid.,project/qa/photo-match07-review.md,Actual source comparison plus integrated geometry; do not accept ambiguous87 point identities from low residual
FW-019,P1,GEO-06,iteration07,Main L3 Study floor perimeter,RESOLVED,PASS,Physical Study slab/finish perimeter closed against source-supported wall returns. Original below-desk ray now hits Study finish; actual integrated07 same-view Cycles image has continuous floor and no old bright strip. Other floor and lighting defects are separate.,project/qa/photo-match07-study-floor-review.md,Reopen if Study floor or enclosing wall geometry changes
FW-020,P1,GEO-01;GEO-02,iteration08,GUEST_LAUNDRY_DESCENT outer wall,OPEN,INCOMPLETE,Source-supported rounded laundry-stair wall integrated. Three freshly measured visible-face stations meet2ft5in nominal within original20mm; local diagnostic images reviewed. Height/material and rough-face placement C. New wall blocks two old approaches; issue remains open pending full corrected-route check.,project/qa/guest-stair-wall08-review.md,"Source-constrained outer wall and actual step clearance, route and independent labeled dimension check"
FW-021,P1,GEO-06;VIS-03,iteration08,Main floor/wall/ceiling interfaces,OPEN,FAIL,"08 closes multiple floor/ceiling seams. Actual new images still show Loggia L-pier corner missing solids/entry-coat floor overlap, Master floor overlap/ceiling gap, and L3 Bath A wall-foot gaps. Source-bound09 local repair in progress; new camera angles do not hide or close defects.",project/qa/structure08b-remaining-review.md,Actual same-camera09 images plus explicit mesh/real-opening controls and full integrated support/route regression
