issue_id,severity,test_id,scene_version,room_or_asset_id,issue_state,result,description,evidence_path,required_retest
FW-001,P1,GEO-05,iteration06; source candidate07,Declared adjacency,OPEN,INCOMPLETE,Iteration06 61 declared edges: 60 PASS and one FAIL. Original drawings disprove the assumed dry route across the plunge; candidate07 retracts this unsupported edge and shortens an erroneous wall. Updated integrated graph still needs verification.,project/qa/main-pool-iteration06-report.md,"Rebuild source-corrected graph; validate real room access and typed pool observation, retaining old ADJ017 failure history"
FW-002,P1,NAV-03,iteration07,Room QA cameras,OPEN,INCOMPLETE,120/120 actual camera geometry and saved settings match verified. Six focus images reviewed;120 new room images undergoing independent visual classification.,project/qa/camera07-review.md,Final 120 camera geometry plus actual complementary images; two room views cannot be replaced by a detail image
FW-003,P1,VIS-07,fluid run05-06,Bear Run transitions,OPEN,FAIL,Short liquid pilots have coverage and level transition failures; no accepted continuous water sequence,project/qa/water-integration-review.md,Actual fluid boundary coverage and continuous 10-second rendered review
FW-004,P1,VIS-07,run06; entry01,Bear Run upstream source,OPEN,FAIL,Run06 source head does not join the program river. Entry01 36-frame experiment produces insufficient outlet water depth and coverage; preserved as failed local experiment.,project/qa/fluid-entry01-review.md,"Same-view program/cache diagnostic with real contact and safe upstream water level, then continuous sequence"
FW-005,P1,VIS-01,iteration05,Main and guest masonry,OPEN,FAIL,Actual relief is legible but regularly coursed surfaces remain more synthetic than source photos,project/qa/masonry-detail-review.md,Reference comparison and final close-up visual review
FW-006,P1,VIS-05,iteration07-study-preview,Interior light and exposure,OPEN,FAIL,New07 source floor gap fixed in Cycles. Independent single-L3 EEVEE probe bake still creates broad black wall/ceiling patches; other6 levels NOT_BAKED in this candidate. Whole-preview visual acceptance remains FAIL.,project/qa/eevee-iteration07-study-review.md,Corrected per-room images retain light/shadow and window detail
FW-007,P1,VIS-04,iteration06,EEVEE window glass,OPEN,INCOMPLETE,Glass preview survived integration without changing Cycles glass surface or panes; guest glazing and reflection artifacts still need actual-image checks.,project/qa/eevee-iteration06-review.md,Multiple fifth-round window views and moving camera including overlapping glazing
FW-008,P1,GEO-06,iteration05,MAIN_B_BATH Wine threshold,RESOLVED,PASS,Same-view two broad black floor strips disappeared after removing coplanar overlap and closing narrow floor gaps,project/qa/iteration05-focus-review.md,Reopen only if geometry at threshold changes
FW-009,P1,GEO-02,iteration06,Central dimensions ledger,RESOLVED,PASS,Central ledger now measures saved evaluated meshes. Four completely cut coping segments are explicitly recorded rather than treated as missing geometry. 22 actual values and 21 blank NOT_RUN values; eight regression checks PASS.,project/qa/dimensions-iteration06-verification.json,Repeat independent measured ledger after each saved rebuild; GEO02 category and source-precision gaps tracked separately
FW-010,P1,GEO-07,iteration05,Reference photo matching,OPEN,NOT_RUN,Six independently supportable distributed-point matched views remain incomplete,project/qa/photo-match-iteration04-review.md,At least three exterior and three interior views with dispersed fixed structure points
FW-011,P1,NAV-01;PERF-01,iteration05,Blender GUI,BLOCKED,BLOCKED,Desktop was locked and no unlock confirmation received; actual native navigation and frame-time evidence unavailable,project/STATUS.md,User unlock then actual GUI operation and four 60-second frame-time tests
FW-012,P1,VIS-01,Final output,12 4K stills,OPEN,NOT_RUN,Only an old-scene 4K cost benchmark exists; final set not produced,project/STATUS.md,12 current accepted-scene 3840x2160 Cycles stills with raw/denoised detail review
FW-013,P1,NAV-02;PKG-04,iteration06,Tour and supplementary films,OPEN,NOT_RUN,Saved tour reopened and 7584 integer frames checked. Two static 384x216 EEVEE frames and signature-verified resume pass only the rendering pipeline; no final film.,project/qa/animation-renderer06-smoke-review.md,Verified real-opening routes and actual complete videos with frame counts and image review
FW-014,P1,PKG-01;PKG-02,Final output,Portable package,OPEN,NOT_RUN,Iteration04 static texture relocation passed; final liquid-cache and reproducible-script delivery package not yet tested,project/qa/portability-iteration04-review.md,Relocate final full dependency package and independently reopen/rerender
FW-015,P1,GEO-02,iteration07,Dimension coverage and source precision,OPEN,INCOMPLETE,"22 numeric agreements:14 nominal-standard passes,8 unresolved source/endpoint precision limits;21 unmeasured records remain blank. Two clearly read and independently matched nominal targets separated from unknown survey accuracy. Cantilever/opening/connection coverage still missing.",project/qa/dimensions-iteration07.md,Source-supported independent endpoints and category coverage without relaxing tolerance
FW-016,P1,VIS-01;VIS-03;VIS-07,geology07c,Core sandstone and near-bank terrain,OPEN,INCOMPLETE,"Core v3 remains next-iteration collision baseline but material realism fails. Near-terrain07b contact geometry passes, actual3 images fail: smooth green bank shoulder and scattered leaf read remain. Candidate not integrated.",project/qa/near-terrain07b-root-visual.md,Matched baseline/candidate geology images and reference review before final water cache
FW-017,P1,GEO-06;VIS-03,furniture07e,Bathroom curved fittings,RESOLVED,PASS,Scoped27 bathroom curve overshoots repaired with endpoints/radii/transforms preserved. Evaluated towel center envelope181.10mm to90mm; same-camera actual Cycles image confirms slim straight rail. General fixture form/placement realism remains outside this closed shape defect.,project/qa/bath-fixtures-iteration06-review.md,Reopen if pipe geometry changes; general fixture realism remains part of final room visual review
